Dates ,09:00,10:00,11:00
1/1/2018,89.40000,90.60000,88.60000
1/2/2018,108.20000,104.60000,106.00000
1/3/2018,110.00000,111.60000,114.80000
1/4/2018,106.40000,104.40000,109.00000
1/5/2018,97.80000,100.40000,102.40000
1/6/2018,87.00000,90.80000,87.20000
1/7/2018,68.80000,67.00000,67.60000
1/8/2018,110.20000,113.00000,116.20000
1/9/2018,111.20000,119.20000,116.00000
1/10/2018,109.00000,114.60000,114.20000
1/11/2018,99.80000,109.00000,113.40000
1/12/2018,111.00000,114.80000,120.40000
1/13/2018,88.40000,89.60000,84.80000
1/14/2018,63.40000,63.60000,66.80000
1/15/2018,114.40000,116.20000,121.20000
1/16/2018,111.20000,114.60000,124.60000
1/17/2018,119.60000,117.40000,118.60000
1/18/2018,117.60000,123.60000,133.80000
1/19/2018,120.40000,130.40000,126.80000
1/20/2018,105.00000,101.40000,100.80000
1/21/2018,67.60000,68.00000,69.60000
1/22/2018,133.80000,132.40000,138.40000
1/23/2018,126.00000,129.00000,138.40000
1/24/2018,119.20000,129.40000,133.80000
1/25/2018,126.40000,130.40000,142.40000
1/26/2018,124.60000,124.00000,135.60000
1/27/2018,98.00000,97.40000,105.60000
1/28/2018,65.60000,68.40000,66.20000
1/29/2018,123.60000,129.80000,135.60000
1/30/2018,128.40000,131.80000,141.00000
1/31/2018,115.20000,118.20000,126.80000
2/1/2018,118.00000,119.60000,123.60000
2/2/2018,124.40000,131.00000,138.00000
2/3/2018,94.40000,94.20000,95.80000
2/4/2018,60.60000,61.40000,64.00000
2/5/2018,123.60000,132.00000,149.60000
2/6/2018,127.80000,146.20000,152.80000
2/7/2018,130.40000,138.80000,149.60000
2/8/2018,133.20000,138.00000,139.80000
2/9/2018,126.40000,130.00000,135.40000
2/10/2018,102.40000,101.00000,100.20000
2/11/2018,62.00000,66.80000,63.20000
2/12/2018,133.00000,137.80000,140.40000
2/13/2018,141.20000,144.80000,146.40000
2/14/2018,128.00000,134.60000,147.80000
2/15/2018,122.20000,130.00000,138.80000
2/16/2018,126.20000,126.00000,128.20000
2/17/2018,97.20000,96.20000,96.00000
2/18/2018,64.00000,64.40000,67.00000
2/19/2018,123.00000,131.00000,152.60000
2/20/2018,131.40000,138.80000,144.80000
2/21/2018,129.40000,137.80000,145.20000
2/22/2018,132.60000,136.20000,146.80000
2/23/2018,131.80000,130.60000,135.80000
2/24/2018,100.20000,102.60000,104.80000
2/25/2018,67.40000,73.00000,71.40000
2/26/2018,131.40000,142.60000,154.40000
2/27/2018,139.80000,141.60000,149.20000
2/28/2018,132.40000,139.00000,144.00000
3/1/2018,121.80000,128.20000,145.80000
3/2/2018,127.80000,126.00000,124.20000
3/3/2018,103.60000,103.40000,104.00000
3/4/2018,65.80000,64.00000,68.20000
3/5/2018,127.40000,136.60000,148.40000
3/6/2018,131.60000,135.00000,143.40000
3/7/2018,122.20000,133.00000,140.80000
3/8/2018,125.80000,126.80000,138.80000
3/9/2018,124.00000,123.80000,131.20000
3/10/2018,95.00000,96.40000,101.20000
3/11/2018,57.60000,57.80000,56.00000
3/12/2018,117.20000,121.80000,133.60000
3/13/2018,120.20000,124.80000,137.20000
3/14/2018,123.40000,128.20000,136.00000
3/15/2018,115.00000,127.80000,134.60000
3/16/2018,114.00000,120.00000,123.00000
3/17/2018,92.80000,97.20000,97.40000
3/18/2018,68.40000,73.00000,70.60000
3/19/2018,139.20000,148.80000,156.40000
3/20/2018,128.60000,140.00000,145.40000
3/21/2018,124.60000,129.60000,131.60000
3/22/2018,120.80000,126.60000,136.60000
3/23/2018,118.40000,127.60000,131.20000
3/24/2018,98.40000,104.00000,104.40000
3/25/2018,63.20000,63.40000,62.60000
3/26/2018,122.40000,131.40000,141.00000
3/27/2018,127.80000,140.00000,138.80000
3/28/2018,125.60000,134.60000,141.20000
3/29/2018,126.40000,133.80000,134.60000
3/30/2018,98.40000,94.00000,96.60000
3/31/2018,93.80000,97.20000,97.60000
4/1/2018,61.20000,64.40000,63.20000
4/2/2018,99.20000,98.80000,96.00000
4/3/2018,129.20000,138.40000,145.00000
4/4/2018,127.60000,133.80000,140.40000
4/5/2018,122.60000,131.00000,132.20000
4/6/2018,124.60000,129.80000,131.40000
4/7/2018,91.60000,92.60000,92.20000
4/8/2018,58.00000,58.80000,60.20000
4/9/2018,123.40000,135.00000,140.60000
4/10/2018,126.00000,136.40000,138.00000
4/11/2018,122.80000,128.20000,131.00000
4/12/2018,123.80000,134.80000,137.40000
4/13/2018,128.20000,137.80000,138.00000
4/14/2018,94.00000,94.60000,96.00000
4/15/2018,56.00000,59.00000,57.60000
4/16/2018,109.40000,117.60000,121.40000
4/17/2018,112.20000,117.60000,119.40000
4/18/2018,109.20000,121.60000,123.60000
4/19/2018,115.20000,120.40000,122.80000
4/20/2018,109.00000,112.80000,120.80000
4/21/2018,91.60000,94.00000,96.00000
4/22/2018,58.80000,60.00000,61.00000
4/23/2018,112.80000,117.60000,117.60000
4/24/2018,113.80000,117.20000,121.20000
4/25/2018,111.40000,116.40000,119.80000
4/26/2018,114.40000,117.40000,119.40000
4/27/2018,110.40000,113.40000,118.20000
4/28/2018,91.40000,93.40000,97.00000
4/29/2018,59.80000,61.80000,63.80000
4/30/2018,133.00000,139.20000,143.00000
5/1/2018,110.60000,115.40000,122.20000
5/2/2018,109.20000,123.40000,122.80000
5/3/2018,107.00000,113.80000,115.60000
5/4/2018,98.00000,102.80000,108.00000
5/5/2018,73.60000,75.60000,76.60000
5/6/2018,59.00000,60.00000,62.00000
5/7/2018,73.00000,73.00000,72.40000
5/8/2018,106.20000,111.00000,115.20000
5/9/2018,96.60000,98.80000,103.80000
5/10/2018,92.40000,109.60000,114.00000
5/11/2018,104.00000,108.20000,110.60000
5/12/2018,74.80000,75.20000,78.00000
5/13/2018,62.20000,62.80000,62.80000
5/14/2018,102.60000,109.60000,109.40000
5/15/2018,103.60000,105.80000,105.80000
5/16/2018,105.20000,107.60000,106.00000
5/17/2018,102.00000,102.80000,103.80000
5/18/2018,99.60000,104.40000,105.60000
5/19/2018,76.80000,77.40000,77.60000
5/20/2018,58.80000,60.40000,60.60000
5/21/2018,95.40000,103.00000,103.60000
5/22/2018,95.00000,98.00000,99.60000
5/23/2018,91.20000,96.40000,102.60000
5/24/2018,93.40000,102.00000,101.20000
5/25/2018,88.80000,91.20000,95.00000
5/26/2018,73.20000,74.80000,73.80000
5/27/2018,58.60000,60.20000,60.20000
5/28/2018,69.40000,69.40000,69.60000
